,zillow_zip,zillow_month_day,zillow_rent_value_index,zillow_month
1534,10005,10/31/2015,3441.673071,2015-10
3934,10005,10/31/2016,3393.698304,2016-10
6334,10005,10/31/2017,3455.232028,2017-10
8734,10005,10/31/2018,3616.812518,2018-10
11134,10005,10/31/2019,3633.192421,2019-10
13534,10005,10/31/2020,3086.527889,2020-10
15934,10005,10/31/2021,3844.821525,2021-10
18334,10005,10/31/2022,4267.192612,2022-10
1734,10005,11/30/2015,3407.278222,2015-11
4134,10005,11/30/2016,3374.163895,2016-11
6534,10005,11/30/2017,3433.376962,2017-11
8934,10005,11/30/2018,3603.2724,2018-11
11334,10005,11/30/2019,3618.7319020000004,2019-11
13734,10005,11/30/2020,3050.7235960000003,2020-11
16134,10005,11/30/2021,3855.7017869999995,2021-11
18534,10005,11/30/2022,4258.437352,2022-11
1934,10005,12/31/2015,3360.3556689999996,2015-12
4334,10005,12/31/2016,3323.7058420000003,2016-12
6734,10005,12/31/2017,3368.306007,2017-12
9134,10005,12/31/2018,3571.681982,2018-12
11534,10005,12/31/2019,3579.650182,2019-12
13934,10005,12/31/2020,3121.1001579999997,2020-12
16334,10005,12/31/2021,3828.4729399999997,2021-12
18734,10005,12/31/2022,4197.335496,2022-12
4734,10005,2/28/2017,3313.84894,2017-02
7134,10005,2/28/2018,3364.7102640000003,2018-02
9534,10005,2/28/2019,3531.8084369999997,2019-02
14334,10005,2/28/2021,3151.584628,2021-02
16734,10005,2/28/2022,4044.37536,2022-02
2334,10005,2/29/2016,3357.886494,2016-02
11934,10005,2/29/2020,3636.5156159999997,2020-02
134,10005,3/31/2015,3327.3553739999998,2015-03
2534,10005,3/31/2016,3398.886404,2016-03
4934,10005,3/31/2017,3330.974458,2017-03
7334,10005,3/31/2018,3412.977643,2018-03
9734,10005,3/31/2019,3553.30591,2019-03
12134,10005,3/31/2020,3705.6390439999996,2020-03
14534,10005,3/31/2021,3189.855799,2021-03
16934,10005,3/31/2022,4147.443972,2022-03
334,10005,4/30/2015,3412.282197,2015-04
2734,10005,4/30/2016,3425.922761,2016-04
5134,10005,4/30/2017,3319.7051969999998,2017-04
7534,10005,4/30/2018,3422.3506390000002,2018-04
9934,10005,4/30/2019,3580.4228450000005,2019-04
12334,10005,4/30/2020,3679.894641,2020-04
14734,10005,4/30/2021,3222.822256,2021-04
17134,10005,4/30/2022,4139.567347,2022-04
534,10005,5/31/2015,3454.404869,2015-05
2934,10005,5/31/2016,3422.7150770000003,2016-05
5334,10005,5/31/2017,3350.131252,2017-05
7734,10005,5/31/2018,3447.021956,2018-05
10134,10005,5/31/2019,3625.621086,2019-05
12534,10005,5/31/2020,3657.7059719999997,2020-05
14934,10005,5/31/2021,3288.8718,2021-05
17334,10005,5/31/2022,4262.715094,2022-05
734,10005,6/30/2015,3441.8058159999996,2015-06
3134,10005,6/30/2016,3424.346725,2016-06
5534,10005,6/30/2017,3382.7947329999997,2017-06
7934,10005,6/30/2018,3467.0456289999997,2018-06
10334,10005,6/30/2019,3644.7968090000004,2019-06
12734,10005,6/30/2020,3569.5464369999995,2020-06
15134,10005,6/30/2021,3355.720607,2021-06
17534,10005,6/30/2022,4371.710536,2022-06
934,10005,7/31/2015,3408.898756,2015-07
3334,10005,7/31/2016,3445.426822,2016-07
5734,10005,7/31/2017,3462.5844049999996,2017-07
8134,10005,7/31/2018,3506.3131729999996,2018-07
