,zillow_zip,zillow_month_day,zillow_sales_value_index,zillow_month
2002,11210,2010-12-31,327753.4645137062,2010-12
2180,11210,2011-01-31,327233.32427469484,2011-01
2358,11210,2011-02-28,326596.83543536154,2011-02
2536,11210,2011-03-31,328989.63536393835,2011-03
2714,11210,2011-04-30,331069.7755776044,2011-04
2892,11210,2011-05-31,333555.9140581165,2011-05
3070,11210,2011-06-30,333275.08130341803,2011-06
3248,11210,2011-07-31,332766.6662074752,2011-07
3426,11210,2011-08-31,332120.31467772694,2011-08
3604,11210,2011-09-30,333311.9533002426,2011-09
3782,11210,2011-10-31,334624.0617547979,2011-10
3960,11210,2011-11-30,336364.3525348021,2011-11
4138,11210,2011-12-31,337808.77777934115,2011-12
4316,11210,2012-01-31,338940.501737153,2012-01
4494,11210,2012-02-29,339300.36772731825,2012-02
4672,11210,2012-03-31,338750.7454365123,2012-03
4850,11210,2012-04-30,338993.85140599083,2012-04
5028,11210,2012-05-31,339613.4859352122,2012-05
5206,11210,2012-06-30,340563.3207750983,2012-06
5384,11210,2012-07-31,341398.73251488694,2012-07
5562,11210,2012-08-31,342621.6215821511,2012-08
5740,11210,2012-09-30,344718.99364979623,2012-09
5918,11210,2012-10-31,346732.8729535562,2012-10
6096,11210,2012-11-30,347668.82735534664,2012-11
6274,11210,2012-12-31,347796.4250489208,2012-12
6452,11210,2013-01-31,347604.38299004803,2013-01
6630,11210,2013-02-28,347749.59383557737,2013-02
6808,11210,2013-03-31,348019.7543465453,2013-03
6986,11210,2013-04-30,348863.6743080209,2013-04
7164,11210,2013-05-31,351399.7016721093,2013-05
7342,11210,2013-06-30,354599.08183899726,2013-06
7520,11210,2013-07-31,357717.0226514797,2013-07
7698,11210,2013-08-31,360289.86289956985,2013-08
7876,11210,2013-09-30,363785.82611936505,2013-09
8054,11210,2013-10-31,367837.42500836274,2013-10
8232,11210,2013-11-30,370749.98928442737,2013-11
8410,11210,2013-12-31,372615.6729292043,2013-12
8588,11210,2014-01-31,374049.31818176055,2014-01
8766,11210,2014-02-28,376271.8973839626,2014-02
8944,11210,2014-03-31,378857.6993352005,2014-03
9122,11210,2014-04-30,382419.36787574243,2014-04
9300,11210,2014-05-31,386665.6675370292,2014-05
9478,11210,2014-06-30,389427.4751876736,2014-06
9656,11210,2014-07-31,390793.7146398391,2014-07
9834,11210,2014-08-31,391157.66820848506,2014-08
10012,11210,2014-09-30,393556.6120926738,2014-09
10190,11210,2014-10-31,396743.35742381704,2014-10
10368,11210,2014-11-30,401328.23554877774,2014-11
10546,11210,2014-12-31,405481.891735985,2014-12
10724,11210,2015-01-31,409824.23365024687,2015-01
10902,11210,2015-02-28,413388.6732313156,2015-02
11080,11210,2015-03-31,415007.1630046729,2015-03
11258,11210,2015-04-30,416575.1054873164,2015-04
11436,11210,2015-05-31,418040.2762788404,2015-05
11614,11210,2015-06-30,421131.1345945106,2015-06
11792,11210,2015-07-31,424918.84692746936,2015-07
11970,11210,2015-08-31,430399.81116741936,2015-08
12148,11210,2015-09-30,437609.10082749545,2015-09
12326,11210,2015-10-31,444185.48925277643,2015-10
12504,11210,2015-11-30,449392.7089845406,2015-11
12682,11210,2015-12-31,454183.0319766022,2015-12
12860,11210,2016-01-31,458799.9601210161,2016-01
13038,11210,2016-02-29,463343.1543913385,2016-02
13216,11210,2016-03-31,465901.8767268979,2016-03
13394,11210,2016-04-30,468128.7343907814,2016-04
13572,11210,2016-05-31,470746.91233256407,2016-05
13750,11210,2016-06-30,474620.776860242,2016-06
13928,11210,2016-07-31,479373.4483913402,2016-07
14106,11210,2016-08-31,483246.59582225507,2016-08
14284,11210,2016-09-30,485306.7376529989,2016-09
14462,11210,2016-10-31,486734.3536248534,2016-10
14640,11210,2016-11-30,489664.68279908405,2016-11
14818,11210,2016-12-31,495775.21595250466,2016-12
14996,11210,2017-01-31,502360.694483391,2017-01
15174,11210,2017-02-28,508587.4937664741,2017-02
15352,11210,2017-03-31,512902.43710156827,2017-03
15530,11210,2017-04-30,517718.11966429366,2017-04
15708,11210,2017-05-31,520475.47849373525,2017-05
15886,11210,2017-06-30,522677.36464112607,2017-06
16064,11210,2017-07-31,524284.28674286563,2017-07
16242,11210,2017-08-31,527062.2929076328,2017-08
16420,11210,2017-09-30,530736.9541935629,2017-09
16598,11210,2017-10-31,536118.9754054163,2017-10
16776,11210,2017-11-30,542475.3193504326,2017-11
16954,11210,2017-12-31,549968.0761036072,2017-12
17132,11210,2018-01-31,556537.3840447606,2018-01
17310,11210,2018-02-28,562278.1949245689,2018-02
17488,11210,2018-03-31,568286.7095815039,2018-03
17666,11210,2018-04-30,573242.2652400704,2018-04
17844,11210,2018-05-31,578339.1874035563,2018-05
18022,11210,2018-06-30,581050.7762175236,2018-06
18200,11210,2018-07-31,584417.2129454593,2018-07
18378,11210,2018-08-31,587987.3793840231,2018-08
18556,11210,2018-09-30,591105.6030297545,2018-09
18734,11210,2018-10-31,591996.1986054122,2018-10
18912,11210,2018-11-30,592308.3690640326,2018-11
19090,11210,2018-12-31,592948.2010136516,2018-12
19268,11210,2019-01-31,596182.8174133685,2019-01
19446,11210,2019-02-28,601084.4454502993,2019-02
19624,11210,2019-03-31,607030.1004526105,2019-03
19802,11210,2019-04-30,612059.1632466029,2019-04
19980,11210,2019-05-31,613816.3763722634,2019-05
20158,11210,2019-06-30,616047.6416904032,2019-06
20336,11210,2019-07-31,617602.9737624285,2019-07
20514,11210,2019-08-31,620317.9135853966,2019-08
